Date,ExchangeRate
2019-04-29,359.72
2019-04-30,359.53
2019-05-01,359.38
2019-05-02,361.66
2019-05-03,360.0
2019-05-04,360.0
2019-05-05,360.0
2019-05-06,360.0
2019-05-07,359.68
2019-05-08,360.96
2019-05-09,360.03
2019-05-10,360.0
2019-05-11,360.0
2019-05-12,360.0
2019-05-13,360.51
2019-05-14,360.3
2019-05-15,360.5
2019-05-16,360.35
2019-05-17,360.5
2019-05-19,360.5
2019-05-20,360.11
2019-05-21,360.0
2019-05-22,361.01
2019-05-23,360.27
2019-05-24,360.0
2019-05-25,359.59
2019-05-26,360.0
2019-05-27,360.24
2019-05-28,360.29
2019-05-29,360.0
2019-05-30,360.0
2019-05-31,360.0
2019-06-01,360.0
2019-06-02,360.0
2019-06-03,360.0
2019-06-04,360.0
2019-06-05,360.0
2019-06-06,360.0
2019-06-07,360.0
2019-06-08,360.0
2019-06-09,360.0
2019-06-10,360.0
2019-06-11,360.0
2019-06-12,360.5
2019-06-13,360.25
2019-06-14,360.0
2019-06-15,361.36
2019-06-16,360.0
2019-06-17,360.75
2019-06-18,360.0
2019-06-19,360.36
2019-06-20,360.23
2019-06-21,360.0
2019-06-22,360.0
2019-06-23,359.99
2019-06-24,360.19
2019-06-25,360.25
2019-06-26,360.0
2019-06-27,360.41
2019-06-28,360.0
2019-06-29,360.0
2019-06-30,360.0
2019-07-01,362.24
2019-07-02,360.77
2019-07-03,360.0
2019-07-04,360.24
2019-07-05,360.0
2019-07-06,360.0
2019-07-07,360.0
2019-07-08,360.33
2019-07-09,360.0
2019-07-10,360.5
2019-07-11,359.93
2019-07-12,360.0
2019-07-14,360.72
2019-07-15,360.0
2019-07-16,361.51
2019-07-17,360.34
2019-07-18,360.65
2019-07-19,360.0
2019-07-21,361.91
2019-07-22,360.05
2019-07-23,360.51
2019-07-24,360.92
2019-07-25,360.0
2019-07-26,359.5
2019-07-28,360.0
2019-07-29,361.34
2019-07-30,360.0
2019-07-31,361.14
2019-08-01,360.0
2019-08-02,361.5
2019-08-04,361.49
2019-08-05,362.33
2019-08-06,363.5
2019-08-07,362.0
2019-08-08,362.0
2019-08-09,362.0
2019-08-11,362.5
2019-08-12,363.83
2019-08-13,363.76
2019-08-14,363.17
2019-08-15,363.66
2019-08-16,363.7
2019-08-18,363.7
2019-08-19,363.77
2019-08-20,362.53
2019-08-21,362.52
2019-08-22,362.36
2019-08-23,362.23
2019-08-25,362.23
2019-08-26,362.87
2019-08-27,363.03
2019-08-28,362.88
2019-08-29,362.76
2019-08-30,362.75
2019-09-01,363.0
2019-09-02,362.63
2019-09-03,362.59
2019-09-04,362.25
2019-09-05,362.5
2019-09-06,363.0
2019-09-08,358.93
2019-09-09,361.38
2019-09-10,361.91
2019-09-11,362.5
2019-09-12,362.5
2019-09-13,361.5
2019-09-15,361.45
2019-09-16,360.5
2019-09-17,361.15
2019-09-18,361.41
2019-09-19,361.16
2019-09-20,360.5
2019-09-22,360.5
2019-09-23,361.61
2019-09-24,361.22
2019-09-25,361.42
2019-09-26,361.5
2019-09-27,361.0
2019-09-29,362.0
2019-09-30,362.24
2019-10-01,361.82
2019-10-02,361.44
2019-10-03,361.91
2019-10-04,361.5
2019-10-06,361.5
2019-10-07,362.3
2019-10-08,361.75
2019-10-09,361.87
2019-10-10,362.1
2019-10-11,361.0
2019-10-13,361.0
2019-10-14,362.35
2019-10-15,362.24
2019-10-16,361.5
2019-10-17,361.99
2019-10-18,361.5
2019-10-20,361.67
2019-10-21,361.5
2019-10-22,361.89
2019-10-23,361.5
2019-10-24,362.5
2019-10-25,361.5
2019-10-27,361.7
2019-10-28,361.58
2019-10-29,361.21
2019-10-30,362.0
2019-10-31,362.52
2019-11-01,362.0
2019-11-03,362.0
2019-11-04,361.96
2019-11-05,362.27
2019-11-06,361.87
2019-11-07,362.29
2019-11-08,362.0
2019-11-10,362.21
2019-11-11,361.59
2019-11-12,361.95
2019-11-13,362.17
2019-11-14,362.03
2019-11-15,361.5
2019-11-16,362.12
2019-11-17,361.87
2019-11-18,362.36
2019-11-19,362.33
2019-11-20,362.5
2019-11-21,362.74
2019-11-22,362.5
2019-11-23,362.5
2019-11-24,362.32
2019-11-25,362.49
2019-11-26,362.5
2019-11-27,362.75
2019-11-28,362.95
2019-11-29,362.5
2019-11-30,362.03
2019-12-01,362.22
2019-12-02,362.34
2019-12-03,362.62
2019-12-04,361.5
2019-12-05,362.5
